country,Avg_tmp
Afghanistan,13.57
Albania,12.03
Algeria,23.22
Angola,21.83
Argentina,14.55
Armenia,7.15
Australia,21.94
Austria,7.25
Azerbaijan,12.93
Bahrain,28.23
Bangladesh,25.53
Belarus,7.5
Belgium,10.68
Belize,25.59
Benin,27.93
Bhutan,11.98
Bolivia,20.95
Bosnia and Herzegovina,10.24
Botswana,22.22
Brazil,25.51
Bulgaria,11.31
Burkina Faso,28.71
Burundi,20.68
Cambodia,27.51
Cameroon,24.87
Canada,-6.36
Central African Republic,25.31
Chad,27.37
Chile,8.71
China,7.1
Colombia,24.79
Comoros,24.52
Costa Rica,24.85
Croatia,11.66
Cuba,25.83
Cyprus,19.63
Czech Republic,8.73
Denmark,8.76
Djibouti,28.38
Dominican Republic,24.19
Ecuador,21.65
Egypt,23
El Salvador,25.24
Estonia,6.31
Ethiopia,23.04
Finland,2.52
France,11.69
Gabon,25.36
Gambia,27.97
Georgia,7.67
Germany,9.63
Ghana,27.68
Greece,14.24
Guatemala,-17.18
Guinea,26.14
Guyana,27.43
Haiti,25.13
Honduras,23.99
Hong Kong S.A.R. of China,7.5
Hungary,11.15
Iceland,2.31
India,24.68
Indonesia,26.14
Iran,17.86
Iraq,22.58
Ireland,9.67
Israel,20.51
Italy,12.81
Ivory Coast,15.4
Jamaica,24.97
Japan,11.13
Jordan,19.42
Kazakhstan,6.91
Kenya,25.09
Kosovo,27.49
Kuwait,26.18
Kyrgyzstan,2.22
Laos,23.74
Latvia,6.86
Lebanon,16
Lesotho,12.65
Liberia,25.69
Libya,22.64
Lithuania,7.43
Luxembourg,10.02
Madagascar,22.65
Malawi,22.51
Malaysia,25.75
Maldives,27.8
Mali,28.83
Malta,19.61
Mauritania,28.34
Mauritius,23.69
Mexico,21.31
Moldova,13.95
Mongolia,0.67
Montenegro,9.19
Morocco,18.04
Mozambique,24.33
Myanmar,23.36
Namibia,20.56
Nepal,13.21
Netherlands,10.4
New Zealand,10.11
Nicaragua,25.29
Niger,27.83
Nigeria,27.24
North Macedonia,10.64
Norway,1.78
Oman,26.04
Pakistan,20.75
Panama,25.4
Paraguay,23.73
Peru,19.7
Philippines,25.82
Poland,8.85
Portugal,15.62
Qatar,28.02
Romania,9.86
Russia,-5.16
Rwanda,19.41
Saudi Arabia,25.47
Senegal,28.65
Serbia,11.28
Sierra Leone,26.54
Singapore,27.6
Slovakia,8.34
Slovenia,9.58
Somaliland region,27.09
South Africa,18.28
South Korea,11.4
South Sudan,27.72
Spain,13.93
Sri Lanka,27.28
Sudan,27.74
Suriname,26.07
Sweden,2.62
Switzerland,6.08
Syria,18.58
Tajikistan,3.75
Tanzania,17.3
Thailand,26.79
Togo,27.38
Trinidad and Tobago,26.37
Tunisia,20.34
Turkey,11.66
Turkmenistan,16.14
Uganda,23.34
Ukraine,9.25
United Arab Emirates,27.63
United Kingdom,9.07
United States,7.63
Uruguay,17.93
Uzbekistan,13.34
Venezuela,25.86
Vietnam,24.62
Yemen,23.63
Zambia,22.27
Zimbabwe,21.83
